TCP_SENT_DUMP_BEGIN version=1
EVENT_BEGIN id=0 start_ptr=0 hit_mask=0009 hit_count=2 bytes=0
INPUT event=0 sample=0 ch=0 a=1000 b=1000 word=13e893e8
INPUT event=0 sample=0 ch=1 a=1005 b=1005 word=13ed93ed
INPUT event=0 sample=0 ch=2 a=1010 b=1010 word=13f293f2
INPUT event=0 sample=0 ch=3 a=1015 b=1015 word=13f793f7
INPUT event=0 sample=0 ch=4 a=1020 b=1020 word=13fc93fc
INPUT event=0 sample=0 ch=5 a=1025 b=1025 word=14019401
INPUT event=0 sample=0 ch=6 a=1030 b=1030 word=14069406
INPUT event=0 sample=0 ch=7 a=1035 b=1035 word=140b940b
INPUT event=0 sample=0 ch=8 a=1040 b=1040 word=14109410
INPUT event=0 sample=0 ch=9 a=1045 b=1045 word=14159415
INPUT event=0 sample=0 ch=10 a=1050 b=1050 word=141a941a
INPUT event=0 sample=0 ch=11 a=1055 b=1055 word=141f941f
INPUT event=0 sample=0 ch=12 a=1060 b=1060 word=14249424
INPUT event=0 sample=0 ch=13 a=1065 b=1065 word=14299429
INPUT event=0 sample=0 ch=14 a=1070 b=1070 word=142e942e
INPUT event=0 sample=0 ch=15 a=1075 b=1075 word=14339433
INPUT event=0 sample=1 ch=0 a=1100 b=1280 word=144c9500
INPUT event=0 sample=1 ch=1 a=1005 b=1006 word=13ed93ee
INPUT event=0 sample=1 ch=2 a=1010 b=1011 word=13f293f3
INPUT event=0 sample=1 ch=3 a=1090 b=1260 word=144294ec
INPUT event=0 sample=1 ch=4 a=1020 b=1021 word=13fc93fd
INPUT event=0 sample=1 ch=5 a=1025 b=1026 word=14019402
INPUT event=0 sample=1 ch=6 a=1030 b=1031 word=14069407
INPUT event=0 sample=1 ch=7 a=1035 b=1036 word=140b940c
INPUT event=0 sample=1 ch=8 a=1040 b=1041 word=14109411
INPUT event=0 sample=1 ch=9 a=1045 b=1046 word=14159416
INPUT event=0 sample=1 ch=10 a=1050 b=1051 word=141a941b
INPUT event=0 sample=1 ch=11 a=1055 b=1056 word=141f9420
INPUT event=0 sample=1 ch=12 a=1060 b=1061 word=14249425
INPUT event=0 sample=1 ch=13 a=1065 b=1066 word=1429942a
INPUT event=0 sample=1 ch=14 a=1070 b=1071 word=142e942f
